"CLIENTNUM","STATUS","CUSTOMER_AGE","GENDER","DEPENDENT_COUNT","EDUCATION_LEVEL","MARITAL_STATUS","INCOME_CATEGORY","CARD_CATEGORY","MONTHS_ON_BOOK","TOTAL_RELATIONSHIP_COUNT","MONTHS_INACTIVE_12_MON","CONTACTS_COUNT_12_MON","CREDIT_LIMIT","TOTAL_REVOLVING_BAL","AVG_OPEN_TO_BUY","TOTAL_TRANS_AMT","TOTAL_TRANS_CT","AVG_UTILIZATION_RATIO"
708139833,Attrited Customer,40,M,3,Graduate,Unknown,$60K - $80K,Blue,30,4,2,3,6391,0,6391,2323,44,0.0
708145908,Existing Customer,61,F,0,Graduate,Married,$40K - $60K,Blue,50,3,3,0,4906,2185,2721,3999,71,0.445
708147108,Existing Customer,26,M,0,Graduate,Divorced,Unknown,Blue,36,6,1,3,21084,2517,18567,2309,71,0.119
708148158,Existing Customer,39,F,4,Unknown,Married,Unknown,Blue,21,2,3,2,1827,0,1827,4207,86,0.0
708151008,Existing Customer,49,F,4,Graduate,Married,$40K - $60K,Blue,41,5,1,2,6250,644,5606,2433,41,0.103
708152358,Attrited Customer,54,M,1,Post-Graduate,Unknown,$80K - $120K,Blue,36,1,3,2,18512,1664,16848,8019,57,0.09
708153558,Existing Customer,46,M,5,Doctorate,Divorced,$120K +,Blue,31,1,2,2,34516,1802,32714,7936,101,0.052
708154833,Attrited Customer,39,F,2,Graduate,Single,Less than $40K,Blue,27,1,3,3,1438,811,627,2336,46,0.564
708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734,1634,13100,1289,23,0.111
708158133,Attrited Customer,45,M,3,College,Married,$80K - $120K,Blue,36,3,2,2,3031,2517,514,2188,50,0.83
708160008,Existing Customer,44,M,1,Uneducated,Married,$120K +,Blue,33,2,2,3,34516,1058,33458,7412,84,0.031
708161133,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,32,5,1,2,6629,1389,5240,3891,69,0.21
708162558,Existing Customer,64,F,0,Uneducated,Married,Unknown,Blue,54,6,1,2,3250,1992,1258,1355,36,0.613
708163758,Existing Customer,41,M,3,Unknown,Married,$120K +,Blue,33,2,4,3,34516,638,33878,13085,139,0.018
708170508,Attrited Customer,38,M,2,Graduate,Married,$60K - $80K,Blue,36,2,3,2,1438,0,1438,1651,42,0.0
708171858,Existing Customer,33,F,3,Post-Graduate,Married,$40K - $60K,Blue,28,5,2,3,1864,1081,783,2607,44,0.58
708173433,Existing Customer,26,F,1,Unknown,Single,$40K - $60K,Blue,14,4,2,4,5645,2324,3321,2482,57,0.412
708174708,Existing Customer,38,M,4,Graduate,Married,$40K - $60K,Blue,27,6,2,4,5535,1276,4259,1764,38,0.231
708176208,Existing Customer,48,F,1,Graduate,Married,$40K - $60K,Blue,36,4,4,1,7268,0,7268,4199,80,0.0
708177333,Existing Customer,51,F,2,High School,Married,Less than $40K,Silver,36,5,3,0,11261,2485,8776,1158,26,0.221
708178608,Existing Customer,31,F,0,Graduate,Married,Unknown,Blue,36,4,2,2,2488,0,2488,4226,73,0.0
708185208,Existing Customer,27,M,0,Graduate,Single,$40K - $60K,Blue,16,4,1,2,3178,1118,2060,2010,31,0.352
708186933,Attrited Customer,33,M,1,Graduate,Single,$60K - $80K,Blue,36,4,3,2,1819,725,1094,2254,45,0.399
708190158,Attrited Customer,38,F,3,High School,Single,Less than $40K,Blue,26,2,3,0,2920,2426,494,2750,41,0.831
708193008,Existing Customer,41,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,3,4,14480,0,14480,1616,43,0.0
708195633,Existing Customer,40,M,2,High School,Unknown,$80K - $120K,Silver,32,5,2,3,34516,1182,33334,2440,54,0.034
708197358,Attrited Customer,57,M,2,Uneducated,Unknown,$80K - $120K,Blue,48,4,1,3,30543,264,30279,7784,63,0.009
708204033,Existing Customer,36,F,5,Unknown,Single,Less than $40K,Blue,24,3,1,1,2980,2093,887,4132,70,0.702
708205083,Existing Customer,38,F,1,High School,Married,Less than $40K,Blue,28,6,4,3,1438,0,1438,4815,81,0.0
708207783,Existing Customer,50,F,3,High School,Single,Less than $40K,Blue,42,1,3,2,1477,0,1477,4680,80,0.0
708208758,Existing Customer,53,M,1,Graduate,Single,$80K - $120K,Blue,45,6,3,2,1826,883,943,2199,48,0.484
708211383,Existing Customer,35,F,3,Graduate,Single,Less than $40K,Blue,27,3,3,3,2664,0,2664,3906,74,0.0
708212658,Existing Customer,38,F,3,Graduate,Married,Less than $40K,Blue,18,6,3,2,2193,1260,933,1799,47,0.575
708216108,Existing Customer,56,F,1,College,Married,$40K - $60K,Blue,44,5,1,4,4088,1557,2531,2250,39,0.381
708217758,Existing Customer,63,M,2,Graduate,Married,$60K - $80K,Blue,49,5,2,3,14035,2061,11974,1606,30,0.147
708219108,Existing Customer,49,M,3,College,Divorced,$80K - $120K,Blue,38,2,3,3,9959,1143,8816,7300,77,0.115
708219858,Existing Customer,39,M,2,Graduate,Single,$40K - $60K,Blue,26,6,3,2,6423,0,6423,4295,70,0.0
708222558,Existing Customer,37,F,2,Post-Graduate,Married,Less than $40K,Blue,36,6,2,3,2310,1513,797,4191,77,0.655
708223383,Attrited Customer,47,F,3,High School,Married,Unknown,Blue,39,6,3,4,11410,979,10431,2736,38,0.086
708224133,Existing Customer,61,M,0,Uneducated,Single,$40K - $60K,Blue,49,1,2,3,2228,1480,748,4431,71,0.664
708225483,Existing Customer,47,M,4,Graduate,Married,$80K - $120K,Blue,36,3,2,4,11242,1561,9681,4246,81,0.139
708226833,Existing Customer,53,M,1,High School,Married,$120K +,Gold,44,1,6,3,34516,831,33685,13247,107,0.024
708229308,Attrited Customer,49,F,2,Unknown,Married,Less than $40K,Blue,41,5,2,2,3243,0,3243,6059,71,0.0
708231183,Existing Customer,30,M,1,Uneducated,Divorced,Unknown,Blue,22,5,3,4,12539,910,11629,2643,72,0.073
708234558,Existing Customer,55,F,2,College,Divorced,Less than $40K,Blue,43,5,2,1,2239,1340,899,4540,73,0.598
708238833,Existing Customer,57,F,3,High School,Married,Less than $40K,Blue,36,6,2,3,3032,2215,817,1387,30,0.731
708241233,Attrited Customer,52,F,3,Post-Graduate,Single,Less than $40K,Blue,47,3,3,2,2972,0,2972,922,25,0.0
708242283,Existing Customer,29,M,1,College,Single,$60K - $80K,Blue,36,5,3,2,5346,0,5346,3253,80,0.0
708243483,Existing Customer,53,M,3,College,Married,$120K +,Blue,43,4,2,5,14938,1155,13783,2248,51,0.077
708244458,Existing Customer,47,F,2,Unknown,Married,Less than $40K,Blue,35,3,3,2,2793,1517,1276,3485,72,0.543
708245808,Existing Customer,35,M,3,Graduate,Married,$60K - $80K,Blue,36,4,1,4,19671,924,18747,13908,124,0.047
708248358,Existing Customer,42,M,4,Graduate,Unknown,$60K - $80K,Silver,30,3,1,3,29937,0,29937,14863,109,0.0
708249708,Existing Customer,48,F,1,Doctorate,Married,Less than $40K,Blue,39,3,3,3,4844,1576,3268,1489,48,0.325
708252108,Existing Customer,64,M,0,College,Single,$40K - $60K,Blue,53,6,3,2,7362,1907,5455,4065,65,0.259
708253458,Existing Customer,59,F,1,Unknown,Single,Unknown,Blue,48,4,2,3,5528,1823,3705,4857,81,0.33
708254733,Existing Customer,41,F,4,Post-Graduate,Single,Less than $40K,Blue,36,5,4,1,2968,1873,1095,5171,85,0.631
708255633,Existing Customer,36,M,1,Graduate,Single,$80K - $120K,Blue,27,3,2,4,3761,1710,2051,3240,65,0.455
708260208,Existing Customer,43,F,5,Uneducated,Single,Less than $40K,Blue,36,4,3,2,2057,1279,778,4321,76,0.622
708266883,Attrited Customer,34,F,2,Graduate,Single,Less than $40K,Blue,36,1,2,3,1666,0,1666,2312,35,0.0
708267858,Existing Customer,65,F,0,High School,Married,$40K - $60K,Blue,36,5,2,3,6088,2145,3943,2098,52,0.352
708269583,Existing Customer,42,F,3,Uneducated,Divorced,Less than $40K,Blue,28,6,2,4,2029,1377,652,4014,86,0.679
708271833,Existing Customer,42,M,3,Graduate,Single,$40K - $60K,Silver,36,3,2,3,15069,1843,13226,3464,67,0.122
708272808,Existing Customer,45,M,5,Graduate,Single,Less than $40K,Blue,36,4,2,1,2718,1474,1244,3542,59,0.542
708273858,Existing Customer,40,M,3,Graduate,Divorced,$120K +,Blue,30,3,2,1,34516,0,34516,3734,80,0.0
708276183,Attrited Customer,52,F,3,Post-Graduate,Married,Less than $40K,Blue,45,2,4,1,1760,0,1760,1554,35,0.0
708281433,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,36,5,1,3,1438,0,1438,3848,75,0.0
708285108,Existing Customer,42,M,4,Graduate,Single,$40K - $60K,Blue,36,1,1,2,6128,2239,3889,13505,116,0.365
708286683,Existing Customer,57,M,2,Uneducated,Single,$80K - $120K,Blue,43,6,3,1,12045,1749,10296,4884,86,0.145
708288108,Attrited Customer,43,M,4,Post-Graduate,Unknown,$80K - $120K,Blue,30,2,5,3,5639,1547,4092,647,15,0.274
708290208,Existing Customer,43,F,3,High School,Married,Less than $40K,Silver,31,3,3,4,13608,1190,12418,3118,76,0.087
708291633,Existing Customer,33,F,2,Doctorate,Unknown,Unknown,Blue,21,3,3,3,4651,2499,2152,5097,79,0.537
708292833,Existing Customer,35,M,2,High School,Single,$120K +,Blue,36,4,2,3,27389,1250,26139,2754,60,0.046
708295533,Existing Customer,65,F,0,Post-Graduate,Married,Less than $40K,Blue,56,5,3,2,3549,1880,1669,1215,22,0.53
708296883,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1,0,11749,788,10961,1178,27,0.067
708298233,Attrited Customer,49,F,3,Graduate,Married,Less than $40K,Blue,37,4,2,1,6184,0,6184,1756,49,0.0
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882,605,7277,704,16,0.077
708301683,Attrited Customer,40,M,2,Uneducated,Married,$80K - $120K,Blue,30,6,2,3,20798,1059,19739,8038,90,0.051
708303108,Existing Customer,50,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,0,1770,1706,64,4940,94,0.964
708307533,Existing Customer,42,M,2,Uneducated,Married,$60K - $80K,Blue,30,1,2,3,3086,0,3086,4129,81,0.0
708313608,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,43,5,3,0,2464,2116,348,2110,43,0.859
708314808,Existing Customer,53,F,2,College,Married,Unknown,Blue,41,5,1,3,5659,1393,4266,1570,40,0.246
708316008,Attrited Customer,59,F,1,Graduate,Single,Unknown,Blue,36,3,2,3,10031,0,10031,1792,29,0.0
708319908,Attrited Customer,37,M,3,Graduate,Single,$80K - $120K,Blue,17,1,1,2,4116,1473,2643,8667,70,0.358
708323208,Attrited Customer,49,F,3,Uneducated,Married,Less than $40K,Blue,36,4,2,4,1522,0,1522,2241,36,0.0
708324483,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,39,3,3,4,1548,0,1548,4420,71,0.0
708330858,Attrited Customer,57,M,3,Graduate,Married,$120K +,Blue,38,2,3,3,8249,1381,6868,678,11,0.167
708331758,Existing Customer,47,F,2,Uneducated,Divorced,Unknown,Silver,35,3,1,4,32444,1843,30601,3725,60,0.057
708332808,Existing Customer,47,M,2,Uneducated,Married,$40K - $60K,Blue,39,2,2,2,3471,0,3471,14381,115,0.0
708334158,Existing Customer,46,F,3,Graduate,Divorced,Less than $40K,Blue,34,4,2,4,9863,686,9177,3068,58,0.07
708337683,Existing Customer,51,M,2,Uneducated,Single,$60K - $80K,Blue,40,4,2,2,21800,893,20907,3820,62,0.041
708338958,Existing Customer,58,F,1,Graduate,Single,Less than $40K,Blue,36,5,1,1,3173,1713,1460,3797,75,0.54
708340758,Attrited Customer,41,M,4,High School,Married,Less than $40K,Blue,32,2,3,3,7769,0,7769,8109,74,0.0
708341958,Existing Customer,31,F,1,College,Divorced,Less than $40K,Blue,21,2,2,3,2061,1904,157,4480,86,0.924
708344358,Existing Customer,53,F,3,High School,Married,Unknown,Blue,45,5,1,3,2495,1354,1141,1311,31,0.543
708347583,Existing Customer,37,F,4,Uneducated,Married,Less than $40K,Blue,36,4,1,4,2509,1144,1365,1804,38,0.456
708354858,Attrited Customer,51,M,2,Unknown,Single,$120K +,Blue,42,2,4,2,14938,0,14938,8192,80,0.0
708355683,Existing Customer,46,F,4,Graduate,Married,Unknown,Blue,38,3,2,3,16815,0,16815,2976,65,0.0
708357183,Existing Customer,47,F,3,Unknown,Single,Less than $40K,Blue,38,4,2,3,1438,0,1438,3511,64,0.0
708358683,Existing Customer,46,M,2,Graduate,Married,$80K - $120K,Silver,35,6,3,2,34516,1236,33280,1665,40,0.036
708360108,Existing Customer,50,M,1,College,Single,$40K - $60K,Blue,41,3,1,1,2800,1338,1462,4869,90,0.478
708361833,Existing Customer,44,M,4,Graduate,Married,$80K - $120K,Blue,36,3,2,3,19430,0,19430,3650,80,0.0
708367908,Existing Customer,56,F,1,Uneducated,Married,Less than $40K,Blue,47,6,1,2,3022,1627,1395,4390,82,0.538
708369633,Attrited Customer,34,F,3,Graduate,Married,Less than $40K,Gold,36,6,3,2,15487,1847,13640,7031,67,0.119
708371733,Existing Customer,41,F,3,High School,Married,Less than $40K,Blue,15,1,1,2,4662,0,4662,4931,81,0.0
708373083,Attrited Customer,40,F,4,Unknown,Married,$40K - $60K,Blue,30,1,3,4,3356,2517,839,2032,39,0.75
708375858,Existing Customer,47,F,4,High School,Divorced,Less than $40K,Blue,36,5,4,2,2776,1341,1435,4318,68,0.483
708376983,Attrited Customer,58,F,1,Unknown,Single,Unknown,Blue,50,5,2,2,8513,799,7714,2119,37,0.094
708378108,Existing Customer,39,F,1,Post-Graduate,Married,$40K - $60K,Blue,36,5,3,2,2147,771,1376,4631,76,0.359
708382083,Existing Customer,49,M,5,High School,Married,$80K - $120K,Blue,36,6,2,2,2292,0,2292,2584,60,0.0
708384033,Attrited Customer,45,F,3,Uneducated,Married,Less than $40K,Blue,35,3,3,3,2745,2463,282,2466,39,0.897
708385533,Attrited Customer,49,F,1,Graduate,Married,Less than $40K,Silver,36,2,3,3,11059,0,11059,9524,80,0.0
708386958,Attrited Customer,47,F,3,Unknown,Married,Less than $40K,Blue,34,3,3,2,1561,0,1561,1947,28,0.0
708387933,Existing Customer,49,F,2,Post-Graduate,Married,Less than $40K,Blue,37,2,1,2,5500,0,5500,14357,110,0.0
708390633,Existing Customer,52,F,3,Graduate,Married,Less than $40K,Blue,44,5,5,3,2421,2312,109,4219,69,0.955
708393633,Existing Customer,41,F,0,High School,Married,Less than $40K,Blue,31,4,2,4,2685,1647,1038,4625,94,0.613
708394908,Existing Customer,44,M,0,High School,Single,$40K - $60K,Blue,33,5,1,3,2337,1442,895,3945,65,0.617
708396033,Existing Customer,45,F,2,Uneducated,Married,Less than $40K,Blue,27,1,2,2,2490,1059,1431,12257,101,0.425
708397008,Existing Customer,54,F,4,Graduate,Married,Unknown,Blue,43,3,2,3,3805,821,2984,4326,67,0.216
708398283,Existing Customer,37,F,1,Graduate,Married,$40K - $60K,Blue,29,5,2,2,4394,885,3509,1377,32,0.201
708399858,Existing Customer,45,F,3,High School,Married,Less than $40K,Blue,35,2,2,1,2548,2250,298,4747,77,0.883
708402333,Existing Customer,48,F,2,Doctorate,Divorced,Unknown,Blue,37,6,2,0,4549,1313,3236,4782,88,0.289
708403308,Existing Customer,37,M,3,Unknown,Single,$40K - $60K,Silver,24,3,1,3,15133,1663,13470,4392,68,0.11
708404883,Existing Customer,45,F,2,High School,Single,Unknown,Blue,37,4,2,4,27804,0,27804,2761,57,0.0
708406083,Existing Customer,35,F,0,Unknown,Married,Less than $40K,Blue,24,5,3,1,3436,2493,943,5211,90,0.726
708412758,Attrited Customer,33,F,3,Graduate,Single,Less than $40K,Blue,36,5,2,3,1457,0,1457,2200,45,0.0
708414033,Existing Customer,50,M,4,Graduate,Married,$40K - $60K,Blue,38,6,3,3,2845,1153,1692,3730,66,0.405
708416433,Attrited Customer,41,F,1,High School,Single,Less than $40K,Blue,36,4,3,2,2372,0,2372,2499,41,0.0
708419733,Attrited Customer,47,M,3,College,Single,$60K - $80K,Blue,39,5,3,2,22599,0,22599,4739,55,0.0
708421833,Existing Customer,45,F,4,Graduate,Single,Less than $40K,Blue,36,6,3,2,3342,2517,825,1139,30,0.753
708423933,Existing Customer,51,M,2,Doctorate,Single,$40K - $60K,Blue,40,3,2,0,6103,0,6103,3203,64,0.0
708426483,Existing Customer,56,F,2,Graduate,Single,Less than $40K,Blue,36,4,6,1,5816,716,5100,3534,73,0.123
708427908,Existing Customer,52,F,4,College,Unknown,Less than $40K,Blue,39,6,3,1,2035,1343,692,4643,86,0.66
708428958,Existing Customer,39,M,2,Unknown,Single,$80K - $120K,Gold,33,1,3,2,34516,0,34516,9179,113,0.0
708431433,Existing Customer,41,M,3,Graduate,Married,$120K +,Blue,31,3,3,2,11789,1420,10369,1463,32,0.12
708433683,Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue,37,3,2,3,3164,2201,963,4410,86,0.696
708434733,Existing Customer,56,M,1,Graduate,Married,$60K - $80K,Blue,50,6,3,3,6735,2289,4446,1249,28,0.34
708438033,Existing Customer,36,F,2,Unknown,Married,Less than $40K,Blue,27,3,3,4,3049,2198,851,2617,48,0.721
708442158,Existing Customer,51,F,1,College,Married,Unknown,Blue,38,3,2,4,6182,1516,4666,3801,61,0.245
708445608,Existing Customer,48,M,3,College,Married,Less than $40K,Blue,37,4,3,3,3305,2517,788,2027,57,0.762
708446808,Existing Customer,33,M,1,Post-Graduate,Married,$80K - $120K,Blue,36,4,3,2,2946,1359,1587,2017,48,0.461
708447858,Existing Customer,59,F,2,Uneducated,Married,Less than $40K,Blue,36,6,3,2,3850,0,3850,15107,117,0.0
708450033,Existing Customer,43,F,3,High School,Unknown,Less than $40K,Blue,13,6,2,1,2605,2269,336,5298,79,0.871
708451233,Existing Customer,46,F,3,Graduate,Unknown,Less than $40K,Blue,36,5,3,4,5090,1650,3440,3707,72,0.324
708453408,Existing Customer,40,M,4,College,Divorced,$80K - $120K,Blue,31,6,2,3,16050,0,16050,3721,62,0.0
708455883,Attrited Customer,57,M,1,Graduate,Single,$80K - $120K,Blue,36,2,3,2,10244,861,9383,1127,29,0.084
708459633,Existing Customer,38,M,2,High School,Married,$60K - $80K,Blue,26,4,1,3,5815,1698,4117,1604,42,0.292
708462258,Existing Customer,51,F,1,High School,Married,Less than $40K,Blue,38,1,1,2,5189,1171,4018,16563,94,0.226
708469533,Existing Customer,42,F,3,Unknown,Married,Unknown,Blue,34,6,3,2,5395,1439,3956,3523,79,0.267
708472008,Existing Customer,44,F,3,Uneducated,Married,Less than $40K,Blue,36,2,3,3,6680,1839,4841,7632,95,0.275
708473133,Existing Customer,55,F,1,Graduate,Married,Less than $40K,Blue,45,4,2,3,1677,0,1677,4588,68,0.0
708474333,Existing Customer,42,M,3,Graduate,Married,$60K - $80K,Blue,29,3,3,1,12294,2517,9777,7906,87,0.205
708476808,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,6,3,2,33791,1960,31831,1047,31,0.058
708478233,Existing Customer,48,F,3,Graduate,Married,$40K - $60K,Blue,36,4,2,2,5573,1238,4335,4348,90,0.222
708480333,Existing Customer,65,M,0,Unknown,Single,$40K - $60K,Blue,36,5,2,3,2163,932,1231,2229,57,0.431
708482658,Existing Customer,41,M,3,Graduate,Married,$80K - $120K,Blue,31,3,2,2,9959,1946,8013,15594,114,0.195
708483708,Existing Customer,51,M,2,Unknown,Married,$120K +,Blue,36,5,3,2,28600,0,28600,4336,66,0.0
708486033,Existing Customer,55,F,3,Post-Graduate,Married,Unknown,Blue,36,3,2,3,16547,1521,15026,1782,48,0.092
708488208,Existing Customer,57,F,3,Uneducated,Married,Less than $40K,Blue,47,5,3,3,2515,1922,593,2231,58,0.764
708489258,Existing Customer,40,F,3,Graduate,Married,Less than $40K,Blue,27,5,3,3,1438,988,450,3561,72,0.687
708491508,Existing Customer,51,M,2,Unknown,Single,$60K - $80K,Blue,42,3,3,2,13906,1430,12476,3856,68,0.103
708492558,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088,865,14223,1107,21,0.057
708494583,Existing Customer,49,F,3,Uneducated,Divorced,Less than $40K,Blue,36,4,1,3,1902,0,1902,3731,53,0.0
708496833,Attrited Customer,60,M,1,High School,Single,Less than $40K,Blue,50,4,4,5,4613,0,4613,8970,78,0.0
708498033,Attrited Customer,44,F,3,Unknown,Married,Less than $40K,Blue,36,3,4,6,2279,1837,442,2789,52,0.806
708499608,Existing Customer,49,M,5,Post-Graduate,Single,$40K - $60K,Silver,36,6,1,2,15525,1299,14226,4042,78,0.084
708500883,Existing Customer,48,M,2,Uneducated,Single,$40K - $60K,Silver,40,2,3,2,17812,0,17812,8379,106,0.0
708501783,Attrited Customer,43,M,2,High School,Married,$120K +,Blue,36,6,2,4,34516,1477,33039,1868,40,0.043
708502908,Existing Customer,61,M,2,High School,Single,$60K - $80K,Silver,48,5,2,3,26218,0,26218,3925,88,0.0
708504783,Existing Customer,47,M,3,Uneducated,Unknown,$40K - $60K,Blue,36,3,3,3,10960,1333,9627,3480,62,0.122
708506508,Existing Customer,54,M,3,High School,Married,$120K +,Blue,43,5,3,2,2884,1144,1740,4887,90,0.397
708507483,Existing Customer,43,F,3,College,Divorced,Less than $40K,Blue,31,6,4,3,1477,0,1477,4802,82,0.0
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438,0,1438,692,16,0.0
708510858,Existing Customer,60,F,1,Uneducated,Single,Less than $40K,Blue,47,1,3,2,4905,2413,2492,15478,109,0.492
708511983,Existing Customer,37,M,3,Graduate,Married,$80K - $120K,Blue,18,5,3,2,1663,0,1663,3950,82,0.0
708513183,Existing Customer,39,M,1,Uneducated,Married,$40K - $60K,Blue,29,4,2,2,4323,1267,3056,3078,58,0.293
708514383,Existing Customer,38,F,2,College,Married,Unknown,Blue,29,2,1,0,3809,1172,2637,4314,81,0.308
708515358,Existing Customer,40,F,1,High School,Married,Less than $40K,Blue,36,6,3,2,4712,0,4712,4216,82,0.0
708516558,Existing Customer,37,F,2,High School,Married,Less than $40K,Blue,36,3,2,1,2588,1782,806,4159,83,0.689
708519108,Attrited Customer,46,F,1,Graduate,Married,Unknown,Blue,24,3,3,2,2694,1576,1118,2041,57,0.585
708522033,Existing Customer,50,M,2,College,Married,$60K - $80K,Blue,36,2,2,1,12299,1664,10635,15060,90,0.135
708525108,Existing Customer,54,F,2,Graduate,Married,Unknown,Blue,47,4,3,3,2156,1134,1022,4120,77,0.526
708528483,Existing Customer,43,F,4,Graduate,Divorced,Unknown,Blue,23,6,3,2,3187,2430,757,1387,33,0.762
708532308,Existing Customer,37,M,2,Uneducated,Single,$60K - $80K,Blue,36,4,2,2,11419,2517,8902,3000,70,0.22
708534033,Existing Customer,45,F,3,Graduate,Single,$40K - $60K,Blue,36,5,2,2,6274,883,5391,4726,82,0.141
708535158,Existing Customer,39,M,2,Post-Graduate,Unknown,$80K - $120K,Blue,29,1,1,3,9959,1501,8458,8505,86,0.151
708536283,Attrited Customer,35,M,1,Doctorate,Single,$80K - $120K,Blue,27,3,2,2,2904,2517,387,2653,46,0.867
708538608,Existing Customer,50,F,4,College,Married,Unknown,Blue,36,6,4,3,3862,0,3862,4058,81,0.0
708539583,Existing Customer,44,F,3,Unknown,Married,Unknown,Blue,25,6,1,3,19897,2232,17665,3979,63,0.112
708542283,Existing Customer,58,F,1,Doctorate,Married,Less than $40K,Blue,47,5,3,4,2495,2061,434,4399,70,0.826
708543258,Existing Customer,36,M,3,High School,Married,$80K - $120K,Blue,36,5,3,2,2607,1880,727,2045,39,0.721
708545058,Existing Customer,45,F,2,Graduate,Single,$40K - $60K,Blue,36,5,4,3,1438,986,452,5136,81,0.686
708549033,Existing Customer,50,F,1,High School,Married,Less than $40K,Blue,32,4,1,3,2055,1276,779,5025,70,0.621
708551508,Existing Customer,51,F,2,College,Single,Less than $40K,Blue,37,4,4,2,3264,2508,756,4966,78,0.768
708553008,Existing Customer,38,F,1,High School,Single,$40K - $60K,Blue,36,1,2,3,2148,1103,1045,4711,64,0.514
708555633,Existing Customer,32,F,1,High School,Single,Less than $40K,Blue,16,2,3,1,3548,2517,1031,15157,97,0.709
